age,income,city,is_student,score
56,32695,Novosibirsk,True,0.49
46,78190,Novosibirsk,False,0.91
32,35258,Omsk,False,0.43
60,117538,Kazan,True,0.35
25,69504,Novosibirsk,True,0.65
38,63159,Moscow,False,0.67
56,43986,Omsk,True,0.86
36,91858,Moscow,True,0.23
40,42666,Moscow,False,0.5
28,68660,Novosibirsk,True,0.57
28,33561,Omsk,True,0.77
41,56854,Kazan,False,0.04
53,94505,Kazan,False,0.99
57,134488,Novosibirsk,True,0.47
41,82251,Novosibirsk,True,0.28
20,52662,Omsk,False,0.88
39,38392,Kazan,False,0.75
19,60535,Kazan,False,0.95
41,108603,Kazan,False,0.33
61,143569,Moscow,True,0.55
47,82256,Kazan,False,0.57
55,119135,Moscow,False,0.98
19,65222,Omsk,True,0.08
38,107373,Moscow,False,0.31
50,109575,Omsk,True,0.19
29,126354,Kazan,False,0.27
39,114651,Kazan,False,0.49
61,93335,Omsk,False,0.37
42,40965,Novosibirsk,True,0.39
44,54538,Omsk,True,0.84
59,138066,Novosibirsk,False,0.93
45,100592,Moscow,True,0.07
33,128018,Moscow,True,0.21
32,143252,Moscow,True,0.67
64,38110,Kazan,True,0.36
61,109309,Moscow,True,0.25
20,57266,Novosibirsk,True,0.3
54,82992,Moscow,False,0.32
24,112948,Omsk,False,0.85
38,128806,Omsk,True,0.14
26,36910,Kazan,False,0.71
56,140989,Omsk,False,0.55
35,120982,Novosibirsk,False,0.3
21,149176,Moscow,False,0.42
42,30206,Kazan,True,0.26
31,117054,Moscow,False,0.61
26,117897,Moscow,False,0.08
43,53419,Novosibirsk,True,0.01
19,80636,Omsk,True,0.63
37,144238,Omsk,False,0.19
45,80015,Moscow,False,0.07
64,147478,Kazan,False,0.4
24,137059,Omsk,False,0.05
61,84268,Kazan,False,0.89
25,140687,Omsk,False,0.03
64,117939,Kazan,True,0.58
52,48141,Novosibirsk,False,0.44
31,110356,Kazan,False,0.67
34,135878,Novosibirsk,True,0.33
53,101910,Novosibirsk,True,0.16
57,86044,Kazan,True,0.98
21,97214,Novosibirsk,True,0.84
19,147930,Moscow,False,0.86
23,149324,Novosibirsk,False,0.25
59,63827,Omsk,False,0.04
21,85820,Kazan,False,0.3
46,92623,Moscow,False,0.54
35,111734,Kazan,False,0.33
43,105450,Omsk,True,0.83
61,123426,Omsk,False,0.27
51,147845,Omsk,True,0.97
27,52299,Novosibirsk,True,0.46
53,73585,Novosibirsk,False,0.84
31,139225,Kazan,True,0.19
48,94044,Kazan,False,0.41
32,72557,Moscow,True,0.7
25,79080,Moscow,False,0.14
31,139556,Kazan,True,0.13
40,32693,Novosibirsk,False,0.97
57,125003,Omsk,False,0.71
38,125259,Kazan,False,0.04
33,142235,Moscow,False,0.4
62,99163,Novosibirsk,False,0.43
35,55939,Kazan,True,0.74
64,78925,Kazan,True,0.25
41,72941,Novosibirsk,True,0.18
43,51834,Kazan,False,0.08
42,48047,Novosibirsk,True,0.43
62,56105,Omsk,False,0.69
58,105766,Novosibirsk,False,0.06
46,45707,Novosibirsk,True,0.92
32,51976,Novosibirsk,True,0.44
62,74262,Kazan,False,0.24
18,53776,Kazan,True,0.09
42,60080,Novosibirsk,False,0.18
24,96842,Kazan,False,0.93
26,91373,Moscow,False,0.64
41,36776,Moscow,False,0.52
18,122787,Kazan,False,0.66
61,85016,Kazan,True,0.44
